N°POSTE,Nb Postes Vacants,Quotité,TYPE,SIGLE,NOM,ADRESSE,COMMUNE,SUPPORT,DISCIPLINE,CIRCONSCRIPTION
       1872,   ,100,E,E.M.PU,GUTENBERG                     ,16 RUE DE LA BAIGNERIE          ,LILLE                     ,2584,G0000,LILLE 1 - NORD                
       1873,   ,100,E,E.P.PU,DESCARTES-MONTESQUIEU         ,1 R LOUIS BLANC                 ,LILLE                     ,2584,G0000,LILLE 1 - HELLEMMES           
       1874,   ,100,E,E.E.PU,ANATOLE FRANCE                ,13 RUE ALPHONSE LEROY           ,LILLE                     ,2584,G0000,LILLE 1 - HELLEMMES           
       1875,   ,100,E,E.E.PU,ARTHUR CORNETTE               ,18 RUE EUGENE JACQUET           ,LILLE                     ,2584,G0000,LILLE 1 - HELLEMMES           
       1876,   ,100,E,E.E.PU,MADAME ROLAND                 ,95 RUE SAINT GABRIEL            ,LILLE                     ,2584,G0000,LILLE 1 - HELLEMMES           
       1877,   ,100,E,E.E.PU,BOUFFLERS-MONGE               ,11 RUE SAINT-SAUVEUR            ,LILLE                     ,2584,G0000,LILLE 1 - CENTRE              
       1878,   ,100,E,E.M.PU,SUZANNE LACORE                ,16 RUE BOHIN                    ,LILLE                     ,2584,G0000,LILLE 1 - HELLEMMES           
       1879,   ,100,E,E.E.PU,TURGOT                        ,86 RUE DU FAUBOURG DES POSTES   ,LILLE                     ,2584,G0000,LILLE 1 - SUD                 
       1880,   ,100,E,E.E.PU,DESBORDES VALMORE             ,4 RUE GUILLAUME TELL            ,LILLE                     ,2584,G0000,LILLE 1 - NORD                
       1881,   ,100,E,E.E.A.,AMPERE                        ,85 BOULEVARD MONTEBELLO         ,LILLE                     ,2584,G0000,LILLE 1 - CENTRE              
       1882,   ,100,E,E.P.PU,NADAUD BRIAND BUISSON         ,7 BOULEVARD EUGENE DUTHOIT      ,LILLE                     ,2584,G0000,LILLE 1 - SUD                 
       1883,   1.00,100,E,E.E.PU,LITTRE                        ,5 ET 13 RUE FULTON              ,LILLE                     ,2584,G0000,LILLE 1 - CENTRE              
       1884,   ,100,E,E.M.PU,BERANGER-HACHETTE             ,4 RUE LEON BLUM                 ,LILLE                     ,2584,G0000,LILLE 1 - CENTRE              
       1885,   ,100,E,E.E.PU,DIDEROT                       ,4 RUE DU BEGUINAGE              ,LILLE                     ,2584,G0000,LILLE 1 - NORD                
       1886,   ,100,E,E.P.PU,LAVOISIER                     ,72 RUE DES STATIONS             ,LILLE                     ,2584,G0000,LILLE 1 - CENTRE              
       1887,   ,100,E,E.M.A.,ANDRE                         ,42 TER RUE PAUL LAFARGUE        ,LILLE                     ,2584,G0000,LILLE 1 - CENTRE              
       1888,   ,100,E,E.M.A.,JEAN AICARD                   ,23 AVENUE VERHAEREN             ,LILLE                     ,2584,G0000,LILLE 1 - NORD                
       1889,   ,100,E,E.E.A.,MICHELET                      ,20 RUE FABRICY                  ,LILLE                     ,2584,G0000,LILLE 1 - CENTRE              
       1890,   ,100,E,E.P.PU,SAND - BRACKE - DESROUSSEAUX  ,37 AVENUE DE LA REPUBLIQUE      ,LILLE-LOMME               ,2584,G0000,LILLE2-LOMME                  
       1891,   ,100,E,E.E.PU,MADAME ROLAND-LAMARTINE       ,1 RUE ELIE PETITPREZ            ,LILLE-LOMME               ,2584,G0000,LILLE2-LOMME                  
       1892,   ,100,E,E.M.PU,VICTOR HUGO                   ,36 RUE DE L EGALITE             ,LILLE-LOMME               ,2584,G0000,LILLE2-LOMME                  
       1893,   ,100,E,E.P.PU,PASTEUR                       ,PLACE DE LA MAIRIE              ,LOMPRET                   ,2584,G0000,LILLE2-LOMME                  
       1894,   ,100,E,E.P.PU,JACQUES PREVERT               ,14 RUE DE LA GARE               ,LA LONGUEVILLE            ,2584,G0000,AVESNES-LE QUESNOY            
       1895,   ,100,E,E.E.PU,PASTEUR - LAMARTINE           ,RUE DU CORPS DE GARDE           ,LOON PLAGE                ,2584,G0000,DUNKERQUE-GRAVELINES          
       1896,   ,100,E,E.M.PU,VICTOR HUGO                   ,RUE SIMEON COURCOT              ,LOON PLAGE                ,2584,G0000,DUNKERQUE-GRAVELINES          
       1897,   ,100,E,E.E.PU,GEORGE SAND-ALPHONSE DAUDET   ,RUE EDOUARD HERRIOT             ,LOOS                      ,2584,G0000,LILLE2-LOOS                   
       1898,   ,100,E,E.E.PU,VOLTAIRE                      ,RUE FRANCISCO FERRER            ,LOOS                      ,2584,G0000,LILLE2-LOOS                   
       1899,   ,100,E,E.E.PU,ALICE SORLIN                  ,76 RUE DU MARECHAL FOCH         ,LOOS                      ,2584,G0000,LILLE2-LOOS                   
       1900,   ,100,E,E.M.PU,ANATOLE FRANCE                ,PLACE JEAN JAURES               ,LOOS                      ,2584,G0000,LILLE2-LOOS                   
       1901,   ,100,E,E.M.PU,CHARLES PERRAULT              ,RUE DES FRERES LUMIERE          ,LOOS                      ,2584,G0000,LILLE2-LOOS                   
       1902,   ,100,E,E.M.PU,LES COQUELICOTS               ,164 RUE EMILE ZOLA              ,LOURCHES                  ,2584,G0000,VALENCIENNES DENAIN           
       1903,   1.00,100,E,E.P.PU,SUZANNE LANOY BLIN            ,RUE SUZANNE LANOY BLIN          ,LOUVROIL                  ,2584,G0000,AVESNES-JEUMONT               
       1904,   ,100,E,E.P.PU,GROUPE SCOL MESPREUVEN-ELUARD ,75/73 AVENUE MONTFORT CHALOSSE  ,LOUVROIL                  ,2584,G0000,AVESNES-JEUMONT               
       1905,   ,100,E,E.E.PU,PAUL BERT NIVEAU 2            ,14 RUE DU PROGRES               ,LYS LEZ LANNOY            ,2584,G0000,ROUBAIX-HEM                   
       1906,   ,100,E,E.E.PU,PAUL BERT NIVEAU 1            ,75 RUE PAUL BERT                ,LYS LEZ LANNOY            ,2584,G0000,ROUBAIX-HEM                   
       1907,   ,100,E,E.E.PU,KLEBER                        ,54 RUE KLEBER                   ,LA MADELEINE              ,2584,G0000,LILLE1-MARCQ EN BAROEUL       
       1908,   ,100,E,E.E.PU,LOUISE DE BETTIGNIES          ,2 R DE L'ABBE LEMIRE            ,LA MADELEINE              ,2584,G0000,LILLE1-MARCQ EN BAROEUL       
       1909,   ,100,E,E.E.PU,VICTOR HUGO                   ,43 RUE DES GANTOIS              ,LA MADELEINE              ,2584,G0000,LILLE1-MARCQ EN BAROEUL       
       1910,   ,100,E,E.M.PU,ANNE FRANK                    ,14 RUE JEAN BART                ,LA MADELEINE              ,2584,G0000,LILLE1-MARCQ EN BAROEUL       
       1911,   ,100,E,E.E.PU,PIERRE VANDERBECQ             ,90 RUE JEAN JAURES              ,MAING                     ,2584,G0000,VALENCIENNES-SAINT SAULVE     
       1912,   ,100,E,E.M.PU,HECTOR MALOT                  ,117 RUE PASTEUR                 ,DUNKERQUE                 ,2584,G0000,DUNKERQUE-CENTRE              
       1913,   ,100,E,E.M.PU,FRANCOISE DOLTO               ,RUE DE L'ABBAYE                 ,MARCHIENNES               ,2584,G0000,DOUAI-RIEULAY                 
