N°POSTE,Nb Postes Vacants,Quotité,TYPE,SIGLE,NOM,ADRESSE,COMMUNE,SUPPORT,DISCIPLINE,CIRCONSCRIPTION,OBSERVATIONS (POSTE BLOQUE OU JUMELAGE DU POSTE)
       5910,   ,100,E,E.E.PU,PAUL LANGEVIN NIVEAU 1        ,RUE GUY MOCQUET                 ,SECLIN                    ,ULEC,G0176,LILLE3-SECLIN                 ,           
       5911,   ,100,E,E.E.PU,GEORGES FORTRY                ,28 RUE DE MILLAM                ,WATTEN                    ,ULEC,G0176,DUNKERQUE-WORMHOUT            ,           
       5912,   ,100,E,E.E.PU,BLAISE PASCAL GROUPE 8        ,RUE LAMBARENE                   ,GRANDE SYNTHE             ,ULEC,G0176,DUNKERQUE-GRAVELINES          ,           
       5913,   ,100,E,E.P.PU,GEORGE SAND                   ,2 AVENUE DES SPORTS             ,WATTIGNIES                ,ULEC,G0176,LILLE3-WATTIGNIES             ,           
       5914,   ,100,E,E.E.PU,CHARLES DE GAULLE             ,34 RUE LEON JOUHAUX             ,WASQUEHAL                 ,ULEC,G0176,ROUBAIX-WASQUEHAL             ,           
       5915,   1.00,100,E,E.P.PU,LEO LAGRANGE                  ,42 RUE D'YPRES                  ,ROUBAIX                   ,ULEC,G0176,ROUBAIX OUEST                 ,           
       5916,   1.00,100,E,E.P.PU,                              ,1 RUE VICTOR HUGO               ,VILLERS OUTREAUX          ,ULEC,G0176,CAMBRAI-SUD                   ,           
       5917,   ,100,E,E.E.PU,MARCEL PAGNOL                 ,RUE DU BOSQUET                  ,MAUBEUGE                  ,ULEC,G0176,AVESNES-MAUBEUGE              ,           
       5918,   1.00,100,E,E.E.PU,PIERRE CORNEILLE              ,12 RUE DU TRAIN DE CAR          ,CAMBRAI                   ,ULEC,G0176,CAMBRAI-CENTRE                ,           
       5919,   1.00,100,E,E.P.PU,AUGUSTE HERBIN                ,PLACE DU 3 SEPTEMBRE 1944       ,LE CATEAU CAMBRESIS       ,ULEC,G0176,CAMBRAI-LE CATEAU             ,           
       5920,   ,100,E,E.E.PU,GROUPE SCOLAIRE VERLAINE      ,RUE D'ARTOIS                    ,GRANDE SYNTHE             ,ULEC,G0176,DUNKERQUE-GRAVELINES          ,           
       5921,   ,100,E,E.E.PU,KLEBER                        ,298 BOULEVARD DU 8 MAI 1945     ,DUNKERQUE                 ,ULEC,G0176,DUNKERQUE-CENTRE              ,           
       5922,   ,100,E,E.E.PU,QUINET-ROLLIN                 ,27 RUE LITTRE                   ,LILLE                     ,ULEC,G0176,LILLE 1 - CENTRE              ,           
       5923,   ,100,E,E.P.PU,ANTOINE DE SAINT EXUPERY      ,41 RUE DES ECOLES               ,LINSELLES                 ,ULEC,G0176,TOURCOING-RONCQ               ,           
       5924,   1.00,100,E,E.E.PU,SUZANNE LANOY                 ,2 RUE JEAN BAPTISTE HAYE        ,SOLESMES                  ,ULEC,G0176,CAMBRAI-LE CATEAU             ,           
       5925,   1.00,100,E,E.E.PU,MARIE CURIE                   ,12 RUE PASTEUR                  ,SOMAIN                    ,ULEC,G0176,DOUAI-RIEULAY                 ,           
       5926,   1.00,100,E,E.E.PU,JOLIOT-CURIE                  ,AVENUE RENE BETH                ,VIEUX CONDE               ,ULEC,G0176,VALENCIENNES-CONDE            ,           
       5927,   ,100,E,E.E.PU,RONSARD                       ,BOULEVARD CALMETTE              ,JEUMONT                   ,ULEC,G0176,AVESNES-JEUMONT               ,           
       5928,   1.00,100,E,E.E.PU,PIERRE CORNEILLE EPINETTEE    ,1 BOULEVARD JEAN DE LA FONTAINE ,MAUBEUGE                  ,ULEC,G0176,AVESNES-MAUBEUGE              ,           
       5929,   ,100,E,E.P.PU,DES PEUPLIERS                 ,23 AVENUE DES PEUPLIERS         ,ST ANDRE LEZ LILLE        ,ULEC,G0176,LILLE 1 - LAMBERSART          ,           
       5930,   ,100,E,E.E.PU,GAMBETTA                      ,1 RUE GAMBETTA                  ,ARMENTIERES               ,ULEC,G0176,LILLE2-ARMENTIERES            ,           
       5931,   1.00,100,E,E.P.PU,RUE DES PRES                  ,24 RUE DES PRES                 ,AVESNES SUR HELPE         ,ULEC,G0176,AVESNES-FOURMIES              ,           
       5932,   ,100,E,E.E.PU,YANN ARTHUS-BERTRAND          ,269A RUE SALVADOR ALLENDE       ,CYSOING                   ,ULEC,G0176,LILLE3-RONCHIN                ,           
       5933,   ,100,E,E.E.PU,EMILE COORNAERT               ,13 RUE DES TRINITAIRES          ,HONDSCHOOTE               ,ULEC,G0176,DUNKERQUE-BERGUES             ,           
       5934,   ,100,E,E.E.PU,EDOUARD HERRIOT               ,207 RUE CHAUSSEE WATT           ,TOURCOING                 ,ULEC,G0176,TOURCOING-OUEST               ,           
       5935,   1.00,100,E,E.E.PU,SEVIGNE-MACE                  ,236 RUE JULES GUESDE            ,LOURCHES                  ,ULEC,G0176,VALENCIENNES DENAIN           ,           
       5936,   ,100,E,E.E.PU,PASCAL-DESCARTES              ,RUE PATRICK ROY                 ,DENAIN                    ,ULEC,G0176,VALENCIENNES DENAIN           ,           
       5937,   ,100,E,E.E.PU,JULES FERRY                   ,RUE BALZAC                      ,DOUCHY LES MINES          ,ULEC,G0176,VALENCIENNES-ESCAUDAIN        ,           
       5938,   1.00,100,E,E.P.PU,RICHARD WAGNER                ,184 RUE PAUL BOURGET            ,LILLE                     ,ULEC,G0176,LILLE 1 - SUD                 ,           
       5939,   ,100,E,E.E.PU,GEORGES BRASSENS              ,PLACE DE L'ABBAYE               ,MARCHIENNES               ,ULEC,G0176,DOUAI-RIEULAY                 ,           
       5940,   ,100,E,E.E.PU,JEAN JAURES                   ,274 RUE JEAN JAURES             ,ANZIN                     ,ULEC,G0176,VALENCIENNES ANZIN            ,           
       5941,   1.00,100,E,E.P.PU,JEAN-BAPTISTE CARPEAUX        ,1 RUE LUCIEN JONAS              ,ANZIN                     ,ULEC,G0176,VALENCIENNES ANZIN            ,           
       5942,   1.00,100,E,E.P.PU,JULES FERRY                   ,RUE ALFRED BILLET               ,CANTIN                    ,ULEC,G0176,DOUAI-CANTIN                  ,           
       5943,   ,100,E,E.E.PU,LOUIS CORDONNIER              ,RUE DU CAPITAINE HAZEBROUCK     ,HAUBOURDIN                ,ULEC,G0176,LILLE2-LOOS                   ,           
       5944,   ,100,E,E.E.PU,HENRI BARBUSSE-LOUISE MICHEL  ,4 RUE SUZANNE LANOY BLIN        ,HERIN                     ,ULEC,G0176,VALENCIENNES ANZIN            ,           
       5945,   ,100,E,E.E.PU,CURIE-MICHELET                ,PLACE JEAN JAURES               ,LOOS                      ,ULEC,G0176,LILLE2-LOOS                   ,           
       5946,   1.00,100,E,E.E.PU,CASERNE JOYEUSE               ,RUE 145 E REGIMENT INFANTERIE   ,MAUBEUGE                  ,ULEC,G0176,AVESNES-MAUBEUGE              ,           
