N°POSTE,Nb Postes Vacants,Quotité,TYPE,SIGLE,NOM,ADRESSE,COMMUNE,SUPPORT,DISCIPLINE,CIRCONSCRIPTION,OBSERVATIONS (POSTE BLOQUE OU JUMELAGE DU POSTE)
       1488,   ,100,E,E.M.PU,LE COURANT D'EAU              ,519 RUE DE L'ABBE DESMETTRE     ,OSTRICOURT                ,0121,P0006,LILLE3-SECLIN                 ,           
       1489,   ,100,E,E.M.PU,PASTEUR                       ,42 RUE DE LA PREVOTE            ,PERENCHIES                ,0121,P0006,LILLE2-LOMME                  ,           
       1490,   1.00,100,E,E.M.PU,FLORIAN                       ,159 RUE DE LA RESISTANCE        ,FACHES THUMESNIL          ,0121,P0006,LILLE3-WATTIGNIES             ,           
       1491,   ,100,E,E.M.PU,JEAN-LOUIS CHAPPAT            ,42 RUE SERPENTINE               ,FOURMIES                  ,0121,P0006,AVESNES-FOURMIES              ,           
       1492,   ,100,E,E.M.PU,MATERNELLE DE GONDECOURT      ,CHEMIN DE LA CHAPELLE           ,GONDECOURT                ,0121,P0006,LILLE3-SECLIN                 ,           
       1493,   ,100,E,E.M.PU,ROGER SALENGRO                ,RUE ANATOLE FRANCE              ,HELLEMMES LILLE           ,0121,P0006,LILLE 1 - HELLEMMES           ,           
       1494,   ,100,E,E.M.PU,DU BOURG                      ,3 RUE ANATOLE MUSY              ,HOUPLINES                 ,0121,P0006,LILLE2-ARMENTIERES            ,           
       1495,   ,100,E,E.M.PU,VICTOR DURUY                  ,RUE DU MARECHAL FOCH            ,IWUY                      ,0121,P0006,CAMBRAI-LE CATEAU             ,           
       1496,   ,100,E,E.M.PU,DESROUSSEAUX                  ,35 RUE DE MORAES                ,LAMBERSART                ,0121,P0006,LILLE 1 - LAMBERSART          ,           
       1497,   ,100,E,E.M.PU,PHILIPPE DE COMINES           ,3 RUE VICTOR DURUY              ,LILLE                     ,0121,P0006,LILLE 1 - NORD                ,           
       1498,   ,100,E,E.M.PU,MAURICE BOUCHOR               ,1 RUE HIPPOLYTE LEFEBVRE        ,LILLE                     ,0121,P0006,LILLE 1 - HELLEMMES           ,           
       1499,   ,100,E,E.M.PU,ANATOLE FRANCE                ,PLACE JEAN JAURES               ,LOOS                      ,0121,P0006,LILLE2-LOOS                   ,           
       1500,   ,100,E,E.M.PU,PAUL BERT                     ,63 AVENUE PAUL BERT             ,LYS LEZ LANNOY            ,0121,P0006,ROUBAIX-HEM                   ,           
       1501,   ,100,E,E.M.PU,ANNE FRANK                    ,14 RUE JEAN BART                ,LA MADELEINE              ,0121,P0006,LILLE1-MARCQ EN BAROEUL       ,           
       1502,   ,100,E,E.M.PU,LOUIS PERGAUD                 ,20 RUE DES PRETRES              ,MERVILLE                  ,0121,P0006,DUNKERQUE-BAILLEUL            ,           
       1503,   ,100,E,E.M.PU,CRONTEVOYE                    ,51 RUE GUY MORELLE              ,QUIEVRECHAIN              ,0121,P0006,VALENCIENNES BRUAY            ,           
       1504,   ,100,E,E.M.PU,PAULINE KERGOMARD             ,1 RUE DU 11 NOVEMBRE            ,RONCHIN                   ,0121,P0006,LILLE3-RONCHIN                ,           
       1505,   1.00,100,E,E.M.PU,ALBERT SAMAIN                 ,95 RUE DE PHILIPPEVILLE         ,ROUBAIX                   ,0121,P0006,ROUBAIX-EST                   ,           
       1506,   ,100,E,E.M.PU,LINNE                         ,36 RUE HORACE VERNET            ,ROUBAIX                   ,0121,P0006,ROUBAIX-EST                   ,           
       1507,   ,100,E,E.M.PU,JACQUES PREVERT               ,45 RUE JACQUES PREVERT          ,ROUBAIX                   ,0121,P0006,ROUBAIX-EST                   ,           
       1508,   ,100,E,E.M.PU,LA FONTAINE                   ,1 RUE JEAN BAPTISTE LEBAS       ,SECLIN                    ,0121,P0006,LILLE3-SECLIN                 ,           
       1509,   ,100,E,E.M.PU,PIERRE BROSSOLETTE            ,RUE ANATOLE FRANCE              ,TOURCOING                 ,0121,P0006,TOURCOING-OUEST               ,           
       1510,   ,100,E,E.M.PU,LAMARTINE                     ,14 PLACE DE LA CROIX ROUGE      ,TOURCOING                 ,0121,P0006,TOURCOING-EST                 ,           
       1511,   ,100,E,E.M.PU,CLAUDE BERNARD                ,3 RUE DES VILLAS                ,TOURCOING                 ,0121,P0006,TOURCOING-OUEST               ,           
       1512,   ,100,E,E.M.PU,PAUL CLAUDEL                  ,251 RUE DU PONT DE NEUVILLE     ,TOURCOING                 ,0121,P0006,TOURCOING-EST                 ,           
       1513,   ,100,E,E.M.PU,CENTRE                        ,PLACE JEANNE D ARC              ,VIEUX CONDE               ,0121,P0006,VALENCIENNES-CONDE            ,           
       1514,   ,100,E,E.M.PU,PIERRE MALFAIT                ,60 RUE DELERUE                  ,WASQUEHAL                 ,0121,P0006,ROUBAIX-WASQUEHAL             ,           
       1515,   1.00,100,E,E.M.PU,REINE ASTRID                  ,43 BIS RUE LACORDAIRE           ,MONS EN BAROEUL           ,0121,P0006,LILLE3-VILLENEUVE D'ASCQ NORD ,           
       1516,   ,100,E,E.M.PU,HENRI DES                     ,15 RUE BARBUSSE                 ,FLERS EN ESCREBIEUX       ,0121,P0006,DOUAI-CUINCY                  ,           
       1517,   ,100,E,E.M.PU,EDOUARD BRANLY                ,ALLEE DES HERBES FOLLES         ,TOURCOING                 ,0121,P0006,TOURCOING-OUEST               ,           
       1518,   ,100,E,E.M.PU,ANATOLE FRANCE                ,5 AVENUE ANATOLE FRANCE         ,ROUBAIX                   ,0121,P0006,ROUBAIX OUEST                 ,           
       1519,   ,100,E,E.M.PU,JEAN MACE                     ,115 RUE D'ANZIN                 ,ROUBAIX                   ,0121,P0006,ROUBAIX OUEST                 ,           
       1520,   ,100,E,E.M.PU,ALBERT CAMUS                  ,221-223 RUE ROBERT SCHUMAN      ,TOURCOING                 ,0121,P0006,TOURCOING-EST                 ,           
       1521,   ,100,E,E.M.PU,JOLIOT-CURIE                  ,RUE JOLIOT-CURIE                ,SIN LE NOBLE              ,0121,P0006,DOUAI-WAZIERS                 ,           
       1522,   ,100,E,E.M.PU,DU BELLAY                     ,BOULEVARD HENRI DUNANT          ,JEUMONT                   ,0121,P0006,AVESNES-JEUMONT               ,           
       1523,   ,100,E,E.M.PU,LAMARTINE GPE PROVINCES FRANC.,2BIS RUE ILE DE FRANCE          ,MONS EN BAROEUL           ,0121,P0006,LILLE3-VILLENEUVE D'ASCQ NORD ,           
       1524,   1.00,100,E,E.M.PU,DU PARC                       ,115 RUE D ARMENTIERES           ,ERQUINGHEM LYS            ,0121,P0006,LILLE2-ARMENTIERES            ,           
       1525,   ,100,E,E.M.PU,DU CENTRE                     ,291 RUE DES DEPORTES            ,CRESPIN                   ,0121,P0006,VALENCIENNES BRUAY            ,           
       1526,   ,100,E,E.M.PU,HENRI MATISSE                 ,ALLEE DES CHARMES               ,MARCQ EN BAROEUL          ,0121,P0006,LILLE1-MARCQ EN BAROEUL       ,           
       1527,   ,100,E,E.M.PU,HENRI CARRETTE                ,19 RUE SAINT JOSEPH             ,ROUBAIX                   ,0121,P0006,ROUBAIX-EST                   ,           
       1528,   ,100,E,E.M.PU,VICTOR LORIDAN                ,23 RUE GAMBETTA                 ,HALLENNES LEZ HAUBOURDIN  ,0121,P0006,LILLE2-LOOS                   ,           
       1529,   ,100,E,E.M.PU,MICHELET                      ,24 RUE PASTEUR                  ,TOURCOING                 ,0121,P0006,TOURCOING-EST                 ,           
       1530,   ,100,E,E.M.PU,MARCEL CACHIN                 ,65 RUE PATOUX                   ,ANICHE                    ,0121,P0007,DOUAI-CANTIN                  ,           
       1531,   1.00,100,E,E.M.PU,JOLIOT-CURIE                  ,1 RUE GEORGES MORTUAIRE         ,BEUVRAGES                 ,0121,P0007,VALENCIENNES ANZIN            ,           
       1532,   ,100,E,E.M.PU,FRANCOISE DOLTO               ,15 RUE JACQUARD                 ,CAUDRY                    ,0121,P0007,CAMBRAI-SUD                   ,           
       1533,   ,100,E,E.M.PU,GROUPE SCOLAIRE PATRICK ROY   ,RUE MADAME DE SEVIGNE           ,DENAIN                    ,0121,P0007,VALENCIENNES DENAIN           ,           
       1534,   ,100,E,E.M.PU,ANDRE JURENIL                 ,428 RUE PIERRE NEVE             ,DENAIN                    ,0121,P0007,VALENCIENNES DENAIN           ,           
       1535,   ,100,E,E.M.PU,SUZANNE LANOY                 ,70 RUE JULES GUESDE             ,PECQUENCOURT              ,0121,P0007,DOUAI-WAZIERS                 ,           
       1536,   ,100,E,E.M.PU,LA BRUYERE                    ,RUE LOUISE DE BETTIGNIES        ,JEUMONT                   ,0121,P0007,AVESNES-JEUMONT               ,           
       1537,   ,100,E,E.M.PU,JULES SIMON                   ,122 RUE DU BUISSON              ,LILLE                     ,0121,P0007,LILLE 1 - HELLEMMES           ,           
       1538,   ,100,E,E.M.PU,MARIA MONTESSORI              ,62 RUE MERMOZ                   ,LILLE                     ,0121,P0007,LILLE 1 - NORD                ,           
       1539,   ,100,E,E.M.PU,DU CENTRE                     ,6 RUE MARIE CURIE               ,LOUVROIL                  ,0121,P0007,AVESNES-JEUMONT               ,           
       1540,   ,100,E,E.M.PU,PABLO PICASSO                 ,78 RUE VICTOR HUGO              ,ONNAING                   ,0121,P0007,VALENCIENNES BRUAY            ,           
       1541,   ,100,E,E.M.PU,PIERRE DE RONSARD             ,120 AVENUE DE VERDUN            ,ROUBAIX                   ,0121,P0007,ROUBAIX OUEST                 ,           
       1542,   ,100,E,E.M.PU,VICTOR HUGO                   ,69 RUE VICTOR HUGO              ,ST POL SUR MER            ,0121,P0007,DUNKERQUE-SAINT-POL           ,           
       1543,   1.00,100,E,E.M.PU,DES ACACIAS                   ,RUE HENRI DURRE                 ,VALENCIENNES              ,0121,P0007,VALENCIENNES-CENTRE           ,           
       1544,   ,100,E,E.M.PU,LOUIS ARAGON                  ,29 RUE TURGOT                   ,WASQUEHAL                 ,0121,P0007,ROUBAIX-WASQUEHAL             ,           
       1545,   ,100,E,E.M.PU,LES MARRONNIERS               ,RUE PIERRE RONSARD              ,MAUBEUGE                  ,0121,P0007,AVESNES-MAUBEUGE              ,           
       1546,   ,100,E,E.M.PU,LES VIVIERS                   ,1 RUE EYLENE                    ,PHALEMPIN                 ,0121,P0007,LILLE3-SECLIN                 ,           
       1547,   1.00,100,E,E.M.PU,LA FONTAINE                   ,BOULEVARD ALBERT IER            ,VILLENEUVE D ASCQ         ,0121,P0007,LILLE3-VILLENEUVE D'ASCQ NORD ,           
       1548,   ,100,E,E.M.PU,CATHERINE POTEAUX             ,RUE IRENE JOLIOT CURIE          ,FENAIN                    ,0121,P0007,DOUAI-RIEULAY                 ,           
       1549,   ,100,E,E.M.PU,LE PETIT PRINCE               ,17 BOULEVARD MENDES FRANCE      ,MONS EN BAROEUL           ,0121,P0007,LILLE3-VILLENEUVE D'ASCQ NORD ,           
       1550,   1.00,100,E,E.M.PU,JEAN ROSTAND                  ,29 BOULEVARD DE L'EPINE         ,HELLEMMES LILLE           ,0121,P0007,LILLE 1 - HELLEMMES           ,           
       1551,   ,100,E,E.M.PU,                              ,3 RUE ALFRED COUSIN             ,FRETIN                    ,0121,P0007,LILLE3-RONCHIN                ,           
       1552,   ,100,E,E.M.PU,PAULINE KERGOMARD             ,IMPASSE DELAUNE                 ,BEUVRAGES                 ,0121,P0007,VALENCIENNES ANZIN            ,           
       1553,   ,100,E,E.M.PU,LES PETITS CHATELAINS         ,PLACE DU CHATEAU                ,ESTAIRES                  ,0121,P0007,DUNKERQUE-BAILLEUL            ,           
       1554,   ,100,E,E.M.PU,VICTOR HUGO                   ,14 RUE VICTOR HUGO              ,LESQUIN                   ,0121,P0008,LILLE3-RONCHIN                ,           
       1555,   ,100,E,E.M.PU,LES COQUELICOTS               ,164 RUE EMILE ZOLA              ,LOURCHES                  ,0121,P0008,VALENCIENNES DENAIN           ,           
       1556,   ,100,E,E.M.PU,ANNE FRANK-CHARLES PERRAULT   ,RUE DU PONT DE PIERRE           ,MAUBEUGE                  ,0121,P0008,AVESNES-MAUBEUGE              ,           
       1557,   ,100,E,E.M.PU,DESBORDES-VALMORE             ,98 RUE DU GENERAL LECLERC       ,ST ANDRE LEZ LILLE        ,0121,P0008,LILLE 1 - LAMBERSART          ,           
       1558,   ,100,E,E.M.PU,SEVIGNE-SIMON                 ,PLACE CONDORCET                 ,ESCAUDAIN                 ,0121,P0008,VALENCIENNES-ESCAUDAIN        ,           
       1559,   1.00,100,E,E.M.PU,JACQUES DUCLOS                ,RUE VICTOR HUGO                 ,WAZIERS                   ,0121,P0008,DOUAI-WAZIERS                 ,           
       1560,   ,100,E,E.M.PU,JACQUES PREVERT               ,1 RUE DU MARECHAL LECLERC       ,WAVRIN                    ,0121,P0008,LILLE2-ANNOEULLIN             ,           
       1561,   ,100,E,E.M.PU,GERARD PHILIPE                ,17 PLACE DE LA REPUBLIQUE       ,AUBY                      ,0121,P0009,DOUAI-CUINCY                  ,           
       1562,   ,100,E,E.M.PU,JULES FERRY                   ,11 RUE VAN COPPENOLLE           ,ABSCON                    ,0121,P0009,VALENCIENNES-ESCAUDAIN        ,           
       1563,   1.00,100,E,E.M.PU,PAUL LANGEVIN                 ,198 RUE EDGARD LOUBRY           ,FRESNES SUR ESCAUT        ,0121,P0009,VALENCIENNES-CONDE            ,           
       1564,   1.00,100,E,E.M.PU,JENNER                        ,49 RUE DES ECOLES               ,HELLEMMES LILLE           ,0121,P0009,LILLE 1 - HELLEMMES           ,           
       1565,   1.00,100,E,E.M.PU,LA FONTAINE                   ,PLACE DE LA REPUBLIQUE          ,LAMBERSART                ,0121,P0009,LILLE 1 - LAMBERSART          ,           
       1566,   ,100,E,E.M.PU,SUZANNE LACORE                ,16 RUE BOHIN                    ,LILLE                     ,0121,P0009,LILLE 1 - HELLEMMES           ,           
       1567,   ,100,E,E.M.PU,BERANGER-HACHETTE             ,4 RUE LEON BLUM                 ,LILLE                     ,0121,P0009,LILLE 1 - CENTRE              ,           
       1568,   ,100,E,E.M.PU,ROGER SALENGRO                ,17 RUE ROGER SALENGRO           ,ORCHIES                   ,0121,P0009,DOUAI-RIEULAY                 ,           
       1569,   ,100,E,E.M.PU,MARIE CURIE-ROUGE PORTE       ,20 RUE DES FRERES MARTEL        ,HALLUIN                   ,0121,P0009,TOURCOING-RONCQ               ,           
       1570,   ,100,E,E.M.PU,JULES VERNE                   ,9 ALLEE DES TILLEULS            ,ROUBAIX                   ,0121,P0009,ROUBAIX OUEST                 ,           
       1571,   ,100,E,E.M.PU,ALBERT CAMUS                  ,37 RUE JULES VERNE              ,ROUBAIX                   ,0121,P0009,ROUBAIX-CENTRE                ,           
       1572,   ,100,E,E.M.PU,ELISE DUSSART                 ,1 PLACE RENE HAMOIR             ,MAUBEUGE                  ,0121,P0009,AVESNES-MAUBEUGE              ,           
       1573,   ,100,E,E.M.PU,JEAN BART                     ,31 RUE DU GENERAL DE WETT       ,LILLE                     ,0121,P0009,LILLE 1 - SUD                 ,           
       1574,   ,100,E,E.M.PU,PAUL LANGEVIN                 ,10 BOULEVARD LEO LAGRANGE       ,BRUAY SUR L ESCAUT        ,0121,P0010,VALENCIENNES BRUAY            ,           
       1575,   ,100,E,E.M.PU,LAVOISIER                     ,2 RUE JULES GUESDE              ,ROUBAIX                   ,0121,P0010,ROUBAIX-CENTRE                ,           
       1576,   ,100,E,E.M.PU,PASTEUR                       ,19 RUE DU VIROLOIS              ,TOURCOING                 ,0121,P0010,TOURCOING-EST                 ,           
       1577,   1.00,100,E,E.E.A.,EDOUARD BRANLY NIVEAU 1       ,78 RUE DE LA BARRE              ,LILLE                     ,0128,P0004,LILLE 1 - NORD                ,           
       1578,   ,100,E,E.E.A.,BLANCS MOUCHONS               ,47 RUE DES BLANCS MOUCHONS      ,DOUAI                     ,0128,P0006,DOUAI-CENTRE                  ,           
       1579,   1.00,100,E,E.E.A.,GALLIENI                      ,1164 RUE GALLIENI               ,LAMBRES LEZ DOUAI         ,0128,P0007,DOUAI-CUINCY                  ,           
       1580,   ,100,E,E.E.A.,APPLICATION JEAN JAURES       ,55 RUE EMILE MORLAIX            ,DOUAI                     ,0128,P0007,DOUAI-CENTRE                  ,           
       1581,   1.00,100,E,E.E.A.,APPLICATION ANDRIEU-PARENT    ,216 RUE D'ARRAS                 ,DOUAI                     ,0128,P0008,DOUAI-CENTRE                  ,           
       1582,   ,100,E,E.P.A.,LUCIEN MAILLART               ,RUE DU JEU DE MAIL              ,DUNKERQUE                 ,0128,P0008,DUNKERQUE-SAINT-POL           ,           
       1583,   ,100,E,E.E.A.,SOPHIE GERMAIN NIVEAU 2       ,95 BOULEVARD DE LA LIBERTE      ,LILLE                     ,0128,P0008,LILLE 1 - NORD                ,           
       1584,   ,100,E,E.E.A.,MICHELET                      ,20 RUE FABRICY                  ,LILLE                     ,0128,P0010,LILLE 1 - CENTRE              ,           
       1585,   ,100,E,E.E.A.,APPLICATION PAUL PAINLEVE     ,247 RUE DE CUINCY               ,DOUAI                     ,0128,P0011,DOUAI-CENTRE                  ,           
       1586,   ,100,E,E.E.A.,TRULIN-SAMAIN                 ,15RUE VERHAEREN                 ,LILLE                     ,0128,P0011,LILLE 1 - NORD                ,           
       1587,   1.00,100,E,E.P.A.,ALBERT ET MARGUERITE DENVERS  ,RUE DU MOULIN HAUT              ,GRAVELINES                ,0128,P0014,DUNKERQUE-GRAVELINES          ,           
       1588,   ,100,E,E.E.A.,AMPERE                        ,85 BOULEVARD MONTEBELLO         ,LILLE                     ,0128,P0015,LILLE 1 - CENTRE              ,           
       1589,   ,100,E,E.M.A.,LEONIE MAIAUX                 ,105 RUE LEONIE MAIAUX           ,DOUAI                     ,0130,P0005,DOUAI-CENTRE                  ,           
       1590,   ,100,E,E.M.A.,APPLICATION JEAN MONNET       ,69 RUE D ESQUERCHIN             ,DOUAI                     ,0130,P0006,DOUAI-CENTRE                  ,           
       1591,   ,100,E,E.M.A.,JEAN AICARD                   ,23 AVENUE VERHAEREN             ,LILLE                     ,0130,P0006,LILLE 1 - NORD                ,           
       1592,   1.00,100,E,E.M.A.,ANDRE                         ,42 TER RUE PAUL LAFARGUE        ,LILLE                     ,0130,P0009,LILLE 1 - CENTRE              ,           
       1593,   ,100,E,CLG   ,CHASSE ROYALE                 ,RUE LOMPREZ                     ,VALENCIENNES CEDEX        ,1DRR,C0075,AVESNES/VALENCIENNES-ASH      ,           
       1594,   ,100,E,CLG   ,BAYARD                        ,RUE DU STADE BAYARD             ,DENAIN CEDEX              ,1DRR,C0075,AVESNES/VALENCIENNES-ASH      ,           
       1595,   ,100,E,CLG   ,GAYANT                        ,255 RUE MARGUERITE DE FLANDRE   ,DOUAI CEDEX               ,1DRR,C0075,DOUAI/CAMBRAI-ASH             ,           
       1596,   ,100,E,E.E.PU,LEO LAGRANGE NIVEAU 2         ,148 AV LEO LAGRANGE             ,ARMENTIERES               ,2557,G0000,LILLE2-ARMENTIERES            ,           
       1597,   ,100,E,E.E.PU,ANDRE DUCARNE                 ,PLACE PIERRE GOUZON             ,BOUSIES                   ,2557,G0000,AVESNES-LE QUESNOY            ,           
       1598,   ,100,E,E.E.PU,ANATOLE FRANCE                ,137 RUE DE KEMMEL               ,ARMENTIERES               ,2557,G0000,LILLE2-ARMENTIERES            ,           
       1599,   ,100,E,E.E.PU,JEAN MACE                     ,34 RUE JEAN MACE                ,ARMENTIERES               ,2557,G0000,LILLE2-ARMENTIERES            ,           
       1600,   1.00,100,E,E.M.PU,GEORGES LEFEBVRE              ,20 AVENUE DU CHATEAU            ,BOUSIES                   ,2557,G0000,AVESNES-LE QUESNOY            ,           
       1601,   ,100,E,E.E.PU,LOUIS BARTIER                 ,79 BIS RUE MARLE                ,LA CHAPELLE D ARMENTIERES ,2557,G0000,LILLE2-ARMENTIERES            ,           
       1602,   ,100,E,E.E.PU,WEZ MACQUART                  ,1956 ROUTE NATIONALE            ,LA CHAPELLE D ARMENTIERES ,2557,G0000,LILLE2-ARMENTIERES            ,           
       1603,   ,100,E,E.E.PU,RENE JOUGLET                  ,769 RUE DE LA GARE              ,GOMMEGNIES                ,2557,G0000,AVESNES-LE QUESNOY            ,           
       1604,   ,100,E,E.M.PU,ANNA FOUCART                  ,13 RUE ROSALIE LEVASSEUR        ,VALENCIENNES              ,2557,G0000,VALENCIENNES-CENTRE           ,           
       1605,   ,100,E,E.M.PU,DU CARIOT                     ,1 RUE DU CARIOT                 ,VALENCIENNES              ,2557,G0000,VALENCIENNES-CENTRE           ,           
       1606,   ,100,E,E.E.PU,PLAINE DE MONS                ,2 RUE DU CHAMP DE MANOEUVRES    ,VALENCIENNES              ,2557,G0000,VALENCIENNES-CENTRE           ,           
       1607,   ,100,E,E.E.PU,GEORGES HUISMAN NIVEAU 2      ,13 AVENUE DU SERGENT CAIRNS     ,VALENCIENNES              ,2557,G0000,VALENCIENNES-CENTRE           ,           
       1608,   ,100,E,E.E.PU,HENRI LEMAITRE NIVEAU 1       ,38 BIS BOULEVARD CARPEAUX       ,VALENCIENNES              ,2557,G0000,VALENCIENNES-CENTRE           ,           
       1609,   ,100,E,E.M.PU,MATHIEU DE QUINVIGNY          ,9 RUE MATHIEU DE QUINVIGNY      ,VALENCIENNES              ,2557,G0000,VALENCIENNES-CENTRE           ,           
       1610,   ,100,E,E.M.PU,JEAN BONMARCHE                ,14 RUE JEAN BONMARCHE           ,VALENCIENNES              ,2557,G0000,VALENCIENNES-CENTRE           ,           
       1611,   ,100,E,E.E.PU,CARIOT                        ,5 RUE DU CARIOT                 ,VALENCIENNES              ,2557,G0000,VALENCIENNES-CENTRE           ,           
       1612,   ,100,E,E.E.PU,JEHAN FROISSART               ,15 PLACE JEHAN FROISSART        ,VALENCIENNES              ,2557,G0000,VALENCIENNES-CENTRE           ,           
       1613,   ,100,E,E.E.PU,CENTRE                        ,42R PIERRE MATHIEU              ,BAVAY                     ,2557,G0000,AVESNES-LE QUESNOY            ,           
       1614,   ,100,E,E.E.PU,DU BOURG                      ,PLACE DU GENERAL DE GAULLE      ,LA CHAPELLE D ARMENTIERES ,2557,G0000,LILLE2-ARMENTIERES            ,           
       1615,   ,100,E,E.P.PU,ROGER SALENGRO                ,55 AVENUE ROGER SALENGRO        ,ARMENTIERES               ,2557,G0000,LILLE2-ARMENTIERES            ,           
       1616,   ,100,E,E.E.PU,GAMBETTA                      ,1 RUE GAMBETTA                  ,ARMENTIERES               ,2557,G0000,LILLE2-ARMENTIERES            ,           
       1617,   ,100,E,E.M.PU,GERMAINE COTY                 ,RUE DES GLACIS PLAINE DE MONS   ,VALENCIENNES              ,2557,G0000,VALENCIENNES-CENTRE           ,           
       1618,   ,100,E,E.E.PU,LEON BLUM NIVEAU 1            ,AVENUE LEO LAGRANGE             ,ARMENTIERES               ,2557,G0000,LILLE2-ARMENTIERES            ,           
       1619,   ,100,E,E.E.PU,JEAN MOULIN                   ,79 RUE DU CHAUFFOUR             ,VALENCIENNES              ,2557,G0000,VALENCIENNES-CENTRE           ,           
       1620,   ,100,E,E.P.PU,FRANCOISE BADAR               ,22 RUE CAPRON                   ,VALENCIENNES              ,2557,G0000,VALENCIENNES-CENTRE           ,           
       1621,   ,100,E,E.P.PU,DU PARC                       ,28 RUE MATISSE                  ,LA CHAPELLE D ARMENTIERES ,2557,G0000,LILLE2-ARMENTIERES            ,           
       1622,   ,100,E,E.P.PU,RENAN-BUISSON                 ,RUE DE L'ECOLE                  ,ARMENTIERES               ,2557,G0000,LILLE2-ARMENTIERES            ,           
       1623,   ,100,E,E.E.PU,LES ACACIAS                   ,8 ET 10 PLACE DES ACACIAS       ,VALENCIENNES              ,2557,G0000,VALENCIENNES-CENTRE           ,           
       1624,   ,100,E,E.P.PU,OMER OLLIVIER                 ,86 RUE OMER OLLIVIER            ,LA CHAPELLE D ARMENTIERES ,2557,G0000,LILLE2-ARMENTIERES            ,           
       1625,   1.00,100,E,E.E.PU,JEAN MERMOZ                   ,4 RUE DES BOULEAUX              ,VILLENEUVE D ASCQ         ,2584,G0000,LILLE3-VILLENEUVE D'ASCQ SUD  ,           
       1626,   ,100,E,E.E.PU,LEO LAGRANGE NIVEAU 2         ,148 AV LEO LAGRANGE             ,ARMENTIERES               ,2584,G0000,LILLE2-ARMENTIERES            ,           
       1627,   ,100,E,E.P.PU,CAYEUX                        ,RUE LUCIEN CAYEUX               ,AVESNES SUR HELPE         ,2584,G0000,AVESNES-FOURMIES              ,           
       1628,   ,100,E,E.E.PU,PASTEUR                       ,RUE PASTEUR                     ,BAILLEUL                  ,2584,G0000,DUNKERQUE-BAILLEUL            ,           
       1629,   ,100,E,E.P.PU,JEAN MACE                     ,2 RUE DU GENERAL DE GAULLE      ,CAMPHIN EN CAREMBAULT     ,2584,G0000,LILLE3-SECLIN                 ,           
       1630,   ,100,E,E.P.PU,BERTHELOT                     ,RUE JOSEPH LARCANCHE            ,DENAIN                    ,2584,G0000,VALENCIENNES DENAIN           ,           
       1631,   ,100,E,E.E.PU,CENTRE                        ,48 RUE PASTEUR                  ,DOUCHY LES MINES          ,2584,G0000,VALENCIENNES-ESCAUDAIN        ,           
       1632,   ,100,E,E.P.PU,ANDRE NITA                    ,19 RUE SAINT CHARLES            ,DUNKERQUE                 ,2584,G0000,DUNKERQUE-CENTRE              ,           
       1633,   ,100,E,E.P.PU,DU CANTON DE CHEMILLE         ,RUE DU CANTON DE CHEMILLE       ,FONTAINE NOTRE DAME       ,2584,G0000,CAMBRAI-CENTRE                ,           
       1634,   ,100,E,E.E.PU,JOLIOT-CURIE                  ,68 RUE JULES FERRY              ,CUINCY                    ,2584,G0000,DOUAI-CUINCY                  ,           
       1635,   ,100,E,E.E.A.,APPLICATION ANDRIEU-PARENT    ,216 RUE D'ARRAS                 ,DOUAI                     ,2584,G0000,DOUAI-CENTRE                  ,           
       1636,   ,100,E,E.P.PU,                              ,22 GRAND RUE                    ,ABANCOURT                 ,2584,G0000,CAMBRAI-CENTRE                ,           
       1637,   ,100,E,E.E.PU,EUGENE LENGLET                ,6 RUE DES TRANNOIS              ,DOUAI                     ,2584,G0000,DOUAI-CENTRE                  ,           
       1638,   ,100,E,E.E.PU,FERDINAND BUISSON             ,92 RUE JULES BRABANT            ,DOUAI                     ,2584,G0000,DOUAI-CENTRE                  ,           
       1639,   ,100,E,E.P.PU,YVES DUTEIL                   ,42 PLACE DE L EGLISE            ,ESQUERCHIN                ,2584,G0000,DOUAI-CUINCY                  ,           
       1640,   ,100,E,E.E.PU,SAINT-EXUPERY                 ,17 RUE HENRI BARBUSSE           ,FLERS EN ESCREBIEUX       ,2584,G0000,DOUAI-CUINCY                  ,           
       1641,   ,100,E,E.E.A.,GALLIENI                      ,1164 RUE GALLIENI               ,LAMBRES LEZ DOUAI         ,2584,G0000,DOUAI-CUINCY                  ,           
       1642,   ,100,E,E.M.PU,GERARD PHILIPE                ,17 PLACE DE LA REPUBLIQUE       ,AUBY                      ,2584,G0000,DOUAI-CUINCY                  ,           
       1643,   ,100,E,E.M.A.,LEONIE MAIAUX                 ,105 RUE LEONIE MAIAUX           ,DOUAI                     ,2584,G0000,DOUAI-CENTRE                  ,           
       1644,   ,100,E,E.M.PU,JEAN DE LA FONTAINE           ,293 RUE DE L'EGLISE             ,DOUAI                     ,2584,G0000,DOUAI-CENTRE                  ,           
       1645,   ,100,E,E.P.PU,GUSTAVE DESWARTE              ,218 AVENUE GENERAL DE GAULLE    ,BRAY DUNES                ,2584,G0000,DUNKERQUE-CENTRE              ,           
       1646,   ,100,E,E.E.PU,PAUL ELUARD                   ,2 RUE DES PEUPLIERS             ,COUDEKERQUE BRANCHE       ,2584,G0000,DUNKERQUE-BERGUES             ,           
